Word1,Flag1,Word2,Flag2,MI,logDF
公布,v,第二季度,mq,1.0768962755511278,2.0
43.5,m,%,x,5.10700276854393,2.0
1.18,m,亿美元,m,6.792902837152254,2.0
156,m,%,x,3.991525551123994,2.0
收购,v,上海,ns,8.154786539892926,2.0
广告,n,与,p,0.5290151572163864,2.0
74.3,m,%,x,5.10700276854393,2.0
净现金,n,为,p,2.709251958855579,2.0
日,m,股价,n,1.8040920199459072,2.0
3860,m,万美元,m,5.202025350416654,2.0
由于,c,流量,n,4.441231321961575,2.0
分成,v,比例,n,6.5856939136442225,2.0
下滑,v,18,m,3.8981739229260133,2.0
到,v,搜狐公司,n,5.353177829522502,2.0
产品,n,在,p,0.8856150184516444,2.0
连续,a,第,m,9.437720503164424,2.0
为,p,0.33,m,3.502801081388153,2.0
为,p,1350,m,3.2397666755543586,2.0
较,zg,上个季度,l,2.987831649684717,2.0
本季度,n,净收入,n,3.122438832026488,2.0
丁磊,nr,答,v,11.651124141273616,2.0
及,c,展望,v,3.0196395093499477,2.0
为,p,5.76,m,5.146657271162877,2.0
4590,m,万美元,m,5.465059756250448,2.0
年前,t,三个,m,11.64186121994465,2.0
第一,m,位置,v,10.105410389749942,2.0
平台,n,将,d,3.303486726268413,2.0
业务,n,比例,n,1.130699994725201,2.0
中,f,推出,v,3.7015816898929588,2.0
被,p,每间,r,7.156125276955444,2.0
上个季度,l,有所,n,3.991774519154172,2.0
亏损,vn,810,m,6.088107531339901,2.0
委托,n,贷款,n,14.84211075824376,2.0
得益于,v,个人,n,7.890311805153044,2.0
补贴,n,减少,v,4.927945498837487,2.0
网络科技,n,有限公司,n,12.499121047828568,2.0
84.8,m,%,x,5.107002768543931,2.0
展望,v,百度,n,4.14905946284676,2.0
图解,n,全文,n,6.319010095569058,2.0
4960,m,万,m,6.976013698689099,2.0
渠道,n,合作伙伴,n,10.267795501722112,2.0
周四,t,美国股市,n,14.148213885969438,2.0
不断,d,的,uj,0.8577066984001476,2.0
177,m,%,x,4.522040267822774,2.0
世纪,n,公布,v,4.5462068032297145,2.0
为,p,1740,m,4.087763582109309,2.0
比重,n,增长,v,0.02495367672060696,2.0
亿美元,m,占,v,0.2953661023189966,2.0
环比,j,上涨,v,3.58755450633427,2.0
1106,m,万美元,m,5.649484327387876,2.0
为,p,8.9,m,3.632084098333119,2.0
2.76,m,亿元,m,6.738867035915283,2.0
奖金,n,和,c,4.184970981650611,2.0
为,p,49.6,m,4.409691676996672,2.0
分众传媒,l,2008,m,4.323793165520264,2.0
为,p,2.54,m,4.731619771884034,2.0
4530,m,万美元,m,4.78698785113781,2.0
上,f,服务,vn,0.29806020430820995,2.0
2890,m,万元,m,7.111550714534643,2.0
670,m,万元,m,5.204660118926125,2.0
预计,vn,公司,n,0.945433327803283,2.0
能力,n,改善,v,8.569824039171769,2.0
的,uj,变动,vn,1.759526304461244,2.0
2.96,m,亿元,m,6.101437115299991,2.0
1070,m,万元,m,5.789622619647281,2.0
同比增加,nr,7,x,6.870454506949581,2.0
-,x,0107,m,7.2157575192596,2.0
1030,m,万元,m,5.722508423788743,2.0
成长,v,带来,v,8.046930550132258,2.0
内容,n,费用,n,1.5520919113111409,2.0
电子商务,n,行业,n,9.742221526293603,2.0
人民币,n,260,m,3.240258056703827,2.0
创新,v,的,uj,1.3521019892922757,2.0
业务,n,扩张,v,4.71053746326849,2.0
服务收入,n,下降,v,2.424227225996057,2.0
2780,m,万美元,m,5.1089159460251725,2.0
中国电信,nt,和,c,6.535468228734746,2.0
为,p,770,m,2.7658354872219464,2.0
1317,m,:,x,7.388961191244569,2.0
状况,n,而,c,6.411781203725742,2.0
回顾,v,及,c,7.107102350600288,2.0
新,a,发布,v,3.409220927058954,2.0
费,v,的,uj,2.200098895847226,2.0
亏损,vn,2012,m,2.1097375473114446,2.0
优,n,酷网,n,15.759648598051786,2.0
但,c,低于,v,4.930190117026524,2.0
0.27,m,美元,q,8.27852190831517,2.0
表明,v,了,ul,5.511918835967689,2.0
119,m,亿元,m,5.642005496662694,2.0
为,p,1.12,m,3.2397666755543586,2.0
2660,m,万美元,m,4.301561023967569,2.0
高兴,b,看到,v,10.396243867188266,2.0
为,p,1270,m,2.409691676996671,2.0
随着,p,中国,ns,5.854637735661491,2.0
这些,r,举措,v,10.09985086440804,2.0
第四季度,l,末,f,5.673917971418259,2.0
及,c,原有,v,6.318606455793998,2.0
合并,v,带来,v,8.086101147412935,2.0
15.7,m,%,x,5.10700276854393,2.0
营收,n,增速,v,3.244783894402288,2.0
继续,v,提高,v,4.878598384589252,2.0
为,p,99.9,m,4.602336754939067,2.0
产品,n,市场,n,2.998466766464757,2.0
涨,v,5,m,7.869553244986246,2.0
万美元,m,大关,ns,5.1089159460251725,2.0
2830,m,万美元,m,5.424417771753102,2.0
玩家,n,基础,n,7.2449345439133,2.0
SNS,eng,和,c,5.272433822900951,2.0
为,p,7510,m,4.824729176275516,2.0
股票,n,每股,r,2.8450298878110134,2.0
为,p,10.7,m,3.4096916769966716,2.0
空中网,n,第四季度,l,3.498634054137301,2.0
了,ul,明显,a,3.189990741080327,2.0
和,c,改善,v,2.7805807265712756,2.0
8070,m,万元,m,7.012015040983728,2.0
盘,q,股价,n,5.215489105885388,2.0
实现,v,盈利,n,4.505095626668476,2.0
保持,v,平稳,a,9.911651691496836,2.0
为,p,2.6,m,2.950260058359374,2.0
以及,c,人民币,n,-0.10639246759476735,2.0
增长,v,8.3,m,4.186085559704914,2.0
17,m,个,m,4.494619655593627,2.0
费用,n,达到,v,0.850588912168064,2.0
是,v,该,r,2.0246215182491603,2.0
为,p,2450,m,4.239766675554359,2.0
广告费用,n,的,uj,3.200098895847226,2.0
包括,v,带宽,v,6.1538604491105815,2.0
是,v,为,p,-3.1554104013636426,2.0
为,p,15.2,m,3.2397666755543586,2.0
会,v,为,p,0.39846442157341727,2.0
2110,m,万美元,m,5.786987851137811,2.0
;,x,2011,m,-0.33384060869033383,2.0
上半年,t,净利润,n,4.277849166386034,2.0
增长,v,165,m,4.404725846180254,2.0
分众传媒,l,自己,r,6.9251775480675635,2.0
为,p,2100,m,3.0877635821093086,2.0
用户群,n,的,uj,3.522026990734588,2.0
的,uj,邮箱,n,1.515600721575155,2.0
晚上,t,11,m,7.939469635636598,2.0
为,p,88,m,3.4836922584404486,2.0
以来,f,首次,m,8.297357325275248,2.0
426,m,万美元,m,5.465059756250448,2.0
升级,vn,而,c,5.1618029507173935,2.0
总,n,代价,n,12.520182663356398,2.0
增长,v,20.3,m,4.485645841563821,2.0
为,p,1.28,m,3.3222288357463317,2.0
分销商,n,网络,n,9.518062611482028,2.0
为,p,4.38,m,4.409691676996672,2.0
一季度,mq,百度,n,0.6632193941476825,2.0
35.5,m,%,x,4.522040267822774,2.0
此次,r,电话会议,n,10.129598207802092,2.0
第三季度,mq,平均,a,1.9153569345993706,2.0
新浪,nz,股票,n,3.931203539560079,2.0
增长,v,5.2,m,4.279194964096395,2.0
1310,m,万,m,7.638978711411528,2.0
业务收入,n,环比,j,0.8936576340599497,2.0
一,m,比重,n,5.664105056695057,2.0
增长,v,13.9,m,4.163717746676459,2.0
下降,v,37,m,3.9707943479802026,2.0
免费,vn,网络游戏,n,4.834869078248769,2.0
为,p,38.6,m,4.731619771884034,2.0
资金,n,的,uj,1.4528649662271924,2.0
为,p,53.4,m,4.409691676996672,2.0
人民币,n,46,m,1.527540008784297,2.0
000,m,股,n,7.35293179621241,2.0
150,m,%,x,0.8402162278490292,2.0
55.6,m,%,x,4.843968362710137,2.0
为,p,456,m,5.047121597611963,2.0
百度,n,为,p,-1.8239279997630309,2.0
研发,j,投入,v,6.173399544504068,2.0
由于,c,2012,m,0.15800675640469655,2.0
环比,j,则,d,2.4223519151343607,2.0
这些,r,增长,v,1.3563628246188544,2.0
1.43,m,元,m,6.666231033663826,2.0
毛利率,n,2012,m,0.4464466859053287,2.0
6580,m,万元,m,7.596977541704885,2.0
为,p,2840,m,4.087763582109309,2.0
达,v,1,m,3.66947000123371,2.0
增长,v,41.3,m,5.1271918706513455,2.0
全年,m,净营,n,3.017321616162816,2.0
这,r,是因为,c,4.78119632518307,2.0
为,p,4530,m,4.409691676996672,2.0
有,v,下降,v,1.9544925356511018,2.0
新闻,n,客户端,n,8.904987961215825,2.0
25.6,m,%,x,4.884610347207483,2.0
第四季度,l,我们,r,-0.21386380124255516,2.0
Q4,eng,总营,n,4.949880469341372,2.0
为,p,1.78,m,3.824729176275515,2.0
4.38,m,亿元,m,6.686399616021148,2.0
使用,v,消费,vn,7.450719732592641,2.0
成本,n,2012,m,0.8688882212674355,2.0
转化,v,为,p,4.824729176275516,2.0
预期,vn,在,p,0.9478992967059868,2.0
万元,m,和,c,-1.3820903297756257,2.0
1.79,m,亿美元,m,7.718902255708477,2.0
媒体,n,首席,n,5.621376797879565,2.0
66.4,m,%,x,5.10700276854393,2.0
二季度,mq,毛利润,nr,4.035987653641803,2.0
今日,t,下午,t,8.120609424574837,2.0
资源,n,净额,n,12.071592604366527,2.0
灵通,a,第一季度,l,3.5184929949521817,2.0
约合,vn,610,m,5.547253543501665,2.0
利润率,n,跌,v,6.2902328908418665,2.0
之,u,星,n,12.64417138063185,2.0
本次,r,财报,n,6.6338046650735905,2.0
将,d,保留,v,6.551414239711998,2.0
周刊,n,上,f,5.985227565356265,2.0
组合,v,包括,v,7.428482829219586,2.0
2009,m,财年,n,4.2432481672854125,2.0
条例,n,的,uj,4.685525723017467,2.0
月均,j,独立,v,10.825411695301996,2.0
和,c,增加,v,-1.5413473683160865,2.0
为,p,3740,m,4.409691676996672,2.0
6230,m,万美元,m,5.202025350416654,2.0
增值税,n,和,c,5.250066009872496,2.0
业务收入,n,2012,m,2.0994545740495836,2.0
72.7,m,%,x,4.785074673656569,2.0
4820,m,万美元,m,5.786987851137811,2.0
了,ul,46,m,3.121128882935523,2.0
4060,m,万美元,m,5.786987851137811,2.0
1.50,m,亿美元,m,7.648512927817079,2.0
的,uj,总务,n,-0.3054291373795259,2.0
搜索引擎,n,广告,n,6.148623800744434,2.0
海外,s,代理,n,8.184879890695639,2.0
约合,vn,460,m,4.4858529988375215,2.0
1300,m,万元,m,4.467694524759918,2.0
77.5,m,%,x,4.522040267822774,2.0
和,c,来自,v,-0.6021633695006833,2.0
收入,v,超出,v,3.2146841652625486,2.0
一款,m,游戏,n,5.306806788774841,2.0
在,p,一季度,mq,-1.31930048551775,2.0
其中,r,互联网,n,3.5939680755858525,2.0
终止,v,了,ul,5.933382604405966,2.0
加权,v,平均数,n,14.84211075824376,2.0
49.6,m,%,x,4.107002768543931,2.0
下半年,t,的,uj,1.3927439737896217,2.0
5220,m,万元,m,7.596977541704885,2.0
增长,v,112,m,4.279194964096395,2.0
短期,b,第三方,m,10.641861219944648,2.0
的,uj,65.4,m,3.200098895847226,2.0
海外,s,业务收入,n,5.290232890841867,2.0
为,p,4960,m,3.1617641635530855,2.0
成本,n,下降,v,0.3251904959192104,2.0
3120,m,万美元,m,4.979632929080205,2.0
59.2,m,%,x,5.10700276854393,2.0
整体,n,的,uj,0.744419412071036,2.0
在,p,一定,d,5.069577853294239,2.0
的,uj,2750,m,3.685525723017467,2.0
中型,b,休闲游戏,i,12.437720503164424,2.0
的,uj,独家,n,3.1005632222963113,2.0
2012,m,全年,m,2.477624690604858,2.0
其他,r,在线,b,3.2778491663860345,2.0
了,ul,持续增长,n,3.488072094013322,2.0
的,uj,用户群,n,3.200098895847226,2.0
大,a,股东,n,6.731128558041737,2.0
减少,v,50,m,3.705553077501039,2.0
休闲游戏,i,和,c,2.4586526316839135,2.0
GAAP,eng,基本,n,4.6092313680174755,2.0
并,c,被,p,4.6075046232980075,2.0
毛利,nr,在,p,1.1550133298002996,2.0
第三季度,mq,互联网,n,1.82242933287222,2.0
领导,n,地位,n,13.874291163992908,2.0
之,u,溢利,n,11.451526302689453,2.0
为,p,2.88,m,4.731619771884034,2.0
第一,m,的,uj,1.79800045227588,2.0
了,ul,12.2,m,5.096881336688845,2.0
了,ul,推广,v,1.8565670073551352,2.0
日本,ns,的,uj,2.522026990734588,2.0
媒体,n,的,uj,-0.10107063887333949,2.0
0.51,m,美元,q,7.985740159087324,2.0
房地产,j,市场,n,7.603893369745629,2.0
3,m,年,m,-1.3054542716584119,2.0
费用率,n,与,p,3.547084663049052,2.0
搜狐,nz,第二季度,mq,3.2173055304764744,2.0
有限公司,n,约,d,5.519552947733381,2.0
1.57,m,亿美元,m,7.095971904788301,2.0
网络游戏,n,公司,n,1.4634015225600903,2.0
人民币,n,0.34,m,5.2402580567038255,2.0
的,uj,股利,n,1.7146720686769839,2.0
净亏损,vn,1550,m,7.53296881831224,2.0
营收,v,来自,v,5.6489840474166275,2.0
1570,m,万美元,m,4.202025350416655,2.0
通信,j,&,x,6.082222575021925,2.0
从,p,第一季度,l,2.1082854132775326,2.0
薪金,n,福利,ns,13.759648598051786,2.0
本季度,n,中,f,2.1973713870433014,2.0
8.18,m,元,m,8.91415854710741,2.0
165,m,%,x,3.9694992447939956,2.0
拨打,v,免费,vn,10.427404798674726,2.0
的,uj,560,m,2.0439796939299435,2.0
所得税,n,的,uj,-0.9350606874344105,2.0
第四季度,l,与,p,-0.28272565938735933,2.0
股份,n,摊,n,6.1812968747241905,2.0
下滑,v,7,x,3.8824923006937437,2.0
了,ul,历史,n,2.3570332339895175,2.0
花费,n,了,ul,4.895247475519195,2.0
590,m,-,x,4.086474502314634,2.0
112,m,万美元,m,4.202025350416655,2.0
到,v,12,m,2.425899236913903,2.0
服务,vn,而言,c,7.149649097526191,2.0
服务,vn,运营,vn,-0.19476062799379393,2.0
为,p,2.32,m,4.561694770441721,2.0
比重,n,逐年,d,9.675332312118313,2.0
9740,m,万美元,m,5.786987851137811,2.0
毛利率,n,保持稳定,n,6.495205997825185,2.0
39,m,　,x,3.972210782442056,2.0
的,uj,3820,m,3.744419412071036,2.0
的,uj,最大化,nt,4.685525723017467,2.0
我们,r,宣布,v,3.727775122931927,2.0
参与,v,电话会议,n,8.152318284302176,2.0
42.1,m,%,x,5.10700276854393,2.0
56,m,亿元,m,2.429011773328496,2.0
的,uj,限制性,n,2.522026990734588,2.0
自,r,2008,m,5.509008037987172,2.0
增长,v,137,m,5.5422293699301886,2.0
开始,v,运营,vn,1.7528671952242283,2.0
4860,m,万元,m,7.427052540262572,2.0
软件,n,公布,v,4.237761937705974,2.0
到,v,20,m,3.087444274087753,2.0
充分,ad,的,uj,4.422491317183674,2.0
55,m,　,x,5.294138877329418,2.0
仅,d,增长,v,2.279194964096395,2.0
一季度,mq,有所,n,1.8689330743374999,2.0
2360,m,万美元,m,5.465059756250448,2.0
远远,d,高于,v,10.052289465970905,2.0
EZ,eng,产品,n,9.609901478547105,2.0
中,f,升级,vn,5.196346381642536,2.0
出现,v,毛,nr,6.791301799321878,2.0
原先,d,的,uj,2.759526304461244,2.0
了,ul,7.4,m,5.5823081638590875,2.0
本季度,n,贡献,n,3.1136149816394822,2.0
达到,v,历年来,l,7.215585728947312,2.0
53.2,m,%,x,4.937077767101618,2.0
分类,n,信息,n,13.470141980856802,2.0
83.1,m,%,x,5.10700276854393,2.0
预期,vn,2011,m,0.8135139811766509,2.0
的,uj,旅游,vn,0.7000252927125823,2.0
用户,n,及,c,1.052806373285147,2.0
约合,vn,390,m,4.212834504431106,2.0
71.1,m,%,x,5.10700276854393,2.0
年,m,上市,ns,2.2332852123020985,2.0
;,x,2,m,1.8682076810858594,2.0
2450,m,万,m,8.05401621069037,2.0
的,uj,2.6,m,2.5480221992675327,2.0
有,v,更多,d,7.010896672678973,2.0
公司,n,净亏损,vn,0.6442255694139809,2.0
约合,vn,940,m,5.822887986115092,2.0
的,uj,首次,m,0.3492423351530349,2.0
・,x,截止,v,6.83946117982981,2.0
将,d,把,p,6.0208995230132185,2.0
毛利润,nr,于,p,3.2948597692449817,2.0
为,p,1.09,m,4.409691676996672,2.0
亿,m,人,n,4.428091801966647,2.0
09,m,　,x,5.724773231659281,2.0
网络,n,广告投放,l,7.085103204205922,2.0
世界,n,董事长,n,7.014814760552241,2.0
增长,v,44.3,m,4.971072668734063,2.0
04,m,:,x,4.996643768465808,2.0
以来,f,最高,a,6.948541541133075,2.0
求伯君,nz,表示,v,9.700754908998217,2.0
营销,vn,推广,v,4.70199525808785,2.0
16.919,m,亿元,m,7.1014371152999916,2.0
市场营销,n,相关,v,5.002783446447875,2.0
营销,vn,资源,n,7.728184782068712,2.0
的,uj,制作,vn,2.2525663157413613,2.0
18.8,m,%,x,4.884610347207483,2.0
本季度,n,携程,n,3.155262678997974,2.0
雇主,v,的,uj,2.2602198882847966,2.0
执行官,n,刘爽,nr,10.563251385248282,2.0
影响,vn,较小,a,10.394298222873296,2.0
为,p,48.1,m,4.602336754939067,2.0
第二季度,mq,增长,v,-1.4464553168419771,2.0
LCD,eng,屏,ng,15.148213885969438,2.0
没有,v,推出,v,6.390414788386067,2.0
包括,v,出售,vn,6.025127134988379,2.0
约合,vn,960,m,5.426959309783953,2.0
安装包,n,销售,vn,9.343202904380135,2.0
约合,vn,1260,m,6.748887404671316,2.0
的,uj,2660,m,3.200098895847226,2.0
第二季度,mq,其他,r,1.2891644796138684,2.0
人民币,n,1.25,m,4.017865635367379,2.0
亿美元,m,现金,n,0.6217128684733639,2.0
的,uj,搜索引擎,n,2.4224913171836735,2.0
产生,n,授权,v,6.772384585979248,2.0
为,p,990,m,3.1617641635530855,2.0
增长,v,40.2,m,4.694232463375239,2.0
的,uj,重点,n,2.685525723017467,2.0
时空,n,本季度,n,4.19814849185115,2.0
未计,v,总值,n,11.470141980856802,2.0
金融界,n,实现,v,4.730840815121349,2.0
页,m,平均,a,6.981023852248366,2.0
季度,n,下跌,v,3.5391359099335613,2.0
继续,v,保持良好,n,10.394298222873296,2.0
06,m,月,m,2.166160209455806,2.0
49.3,m,%,x,5.107002768543931,2.0
83.3,m,%,x,4.785074673656569,2.0
875,m,万美元,m,5.786987851137811,2.0
在,p,随后,d,5.806543447460445,2.0
为,p,4.82,m,4.824729176275516,2.0
薄,a,每股,r,3.9320412519677332,2.0
持续,vd,业务,n,4.10285488604725,2.0
6220,m,万美元,m,5.786987851137811,2.0
百度,n,二季度,mq,4.220220491767999,2.0
的,uj,佣金,n,-0.255580587928964,2.0
-,x,1907,m,7.2157575192596,2.0
二季度,mq,来自,v,3.6381366651796356,2.0
60.9,m,%,x,4.522040267822774,2.0
网络游戏,n,总收入,n,4.052021046889337,2.0
商业,n,环境,n,7.907899556635728,2.0
并,c,从,p,3.843188540986846,2.0
金山,nr,WPS,eng,10.09431268086661,2.0
为,p,653,m,4.824729176275516,2.0
以及,c,运营,vn,-0.3867388720713536,2.0
5260,m,万元,m,6.596977541704884,2.0
限制性,n,存款,n,10.662787058799198,2.0
宣布,v,与,p,4.243875765508279,2.0
120,m,%,x,1.3845367440728396,2.0
410,m,万元,m,5.275049446817523,2.0
从,p,收入,v,0.912933952312817,2.0
41.4,m,%,x,5.10700276854393,2.0
发展,vn,战略,n,6.514888363686883,2.0
扩大,v,用户,n,3.8922840474846487,2.0
艺龙,n,2012,m,3.461439262863919,2.0
搜索,v,营销,vn,5.333500344746036,2.0
将,d,推出,v,2.182180430046279,2.0
的,uj,工资,vn,3.785061396568382,2.0
游戏,n,而,c,1.0428618779938865,2.0
业务收入,n,达,v,4.01481476055224,2.0
的,uj,4.3,m,2.504953477375647,2.0
下降,v,24,m,3.0609921569517806,2.0
营销,vn,策略,n,7.2198435629504685,2.0
今年,t,前,f,5.088697349435153,2.0
公司,n,拥有,v,3.808169593805564,2.0
的,uj,薪资,n,3.5480221992675323,2.0
为,p,2050,m,3.6441569306336943,2.0
第一季度,l,服务,vn,1.6379793675926964,2.0
项目,n,及,c,4.838613514674385,2.0
降至,v,2010,m,4.583452357880316,2.0
为,p,225,m,4.731619771884034,2.0
畅游,v,游戏,n,5.40366832802743,2.0
为,p,36.9,m,4.031180053742942,2.0
5970,m,万美元,m,5.786987851137811,2.0
付费,v,等,u,4.9474356312541765,2.0
环比,j,跌,v,4.031161157809885,2.0
相关,v,法律,n,7.832858445005564,2.0
包括,v,WAP,eng,6.797716638885306,2.0
内容,n,库,n,10.417162331225033,2.0
文中,s,涉及,v,14.31486375537889,2.0
拥有,v,约,d,5.395416647721275,2.0
灵通,a,的,uj,0.04552185873834931,2.0
增长,v,26.9,m,4.279194964096395,2.0
的,uj,监管,vn,2.759526304461244,2.0
人民币,n,2790,m,4.50329246253762,2.0
年,m,每间,r,2.0547212925859135,2.0
至,p,750,m,5.942043104329791,2.0
人民币,n,1310,m,5.147148652312345,2.0
源于,v,人力,n,8.215328081827975,2.0
年初,t,推行,v,13.215328081827977,2.0
为,p,18,m,0.21591993359999104,2.0
分众传媒,l,CEO,eng,5.14939270501083,2.0
为,p,72.4,m,4.409691676996672,2.0
公布,v,二季度,mq,3.9117756262442582,2.0
宣传,vn,推广,v,9.367331175273026,2.0
五个,m,百分点,m,10.535646923853681,2.0
3060,m,万美元,m,5.1089159460251725,2.0
其,r,毛利率,n,2.6125629484633426,2.0
存款,n,的,uj,1.5480221992675323,2.0
结余,n,的,uj,5.00745381790483,2.0
增长,v,30.6,m,4.7266539410676165,2.0
达,v,历史,n,5.090542086715486,2.0
0.86,m,美元,q,7.985740159087324,2.0
3400,m,万元,m,5.690086946096366,2.0
为,p,65.4,m,3.6023367549390675,2.0
定期存款,l,的,uj,1.3350284759333342,2.0
为,p,59.3,m,4.087763582109309,2.0
解读,v,07,m,6.483136423647171,2.0
0.34,m,元,m,7.744233545665099,2.0
之,u,剑,n,11.64417138063185,2.0
3930,m,万美元,m,5.272414678308052,2.0
2210,m,万美元,m,4.3275562325005135,2.0
人民币,n,130,m,2.8252205574249825,2.0
盛大,b,其他,r,3.419868171258462,2.0
2,m,季度,n,1.51994234470025,2.0
意义,n,的,uj,5.00745381790483,2.0
腾讯,nz,二季度,mq,6.239521047726935,2.0
合并,v,中国万网,nz,10.498424261994742,2.0
1907,m,:,x,7.388961191244569,2.0
公司,n,合并,v,5.360108867069252,2.0
60.1,m,%,x,5.10700276854393,2.0
准备,v,费用,n,4.060751044719099,2.0
456,m,万美元,m,5.786987851137811,2.0
稳步,d,提高,v,10.413873761210057,2.0
434,m,万美元,m,5.786987851137811,2.0
了,ul,相关,v,0.22898487269619025,2.0
由于,c,低,a,5.069262544574618,2.0
会员,n,净,a,4.99132640762987,2.0
去年,t,四季度,mq,5.240804232121919,2.0
19,m,　,x,3.7405405475175977,2.0
156,m,万美元,m,4.893903055054323,2.0
短期,b,借款,n,13.285717409719375,2.0
发放,v,限制性,n,11.743707054182766,2.0
为,p,28.2,m,3.950260058359374,2.0
于,p,区域,n,8.513039939294515,2.0
即将,d,推出,v,8.583059866328464,2.0
由于,c,预订,v,1.9399795276296508,2.0
规模,n,扩大,v,5.712524685937761,2.0
全体,n,员工,n,11.084083548549723,2.0
收购,v,深圳,ns,9.832858445005563,2.0
-,x,406,m,6.630795018538444,2.0
和,c,5.48,m,6.687471322179794,2.0
13,m,％,x,3.8608960718869443,2.0
其中,r,未计,v,9.056129486978723,2.0
楼宇,nr,业务收入,n,6.162713455664555,2.0
增长,v,21.6,m,3.925558009481695,2.0
为,p,3950,m,3.950260058359374,2.0
人民币,n,1.30,m,4.162255544702553,2.0
将,d,保存,v,8.72133924115431,2.0
增长,v,99,m,2.5136602177334177,2.0
酒店,n,的,uj,-0.6743702220689156,2.0
1.30,m,亿元,m,4.853509601856406,2.0
为,p,82.3,m,4.561694770441721,2.0
平均数,n,为,p,5.409691676996671,2.0
相当于,v,机票价格,n,11.826285791082077,2.0
商业化,n,的,uj,2.200098895847226,2.0
-,x,480,m,4.692195563202588,2.0
4010,m,万,m,7.902013117245322,2.0
户外,s,广告牌,n,12.411248291803233,2.0
及,c,持有,v,2.594990415286812,2.0
了,ul,35,m,1.746384089604712,2.0
对,p,员工,n,4.472320988484852,2.0
盈利率,n,由,p,11.874291163992911,2.0
20.2,m,%,x,4.843968362710137,2.0
为,p,8.6,m,2.950260058359374,2.0
-,x,无线,n,0.7563259006223025,2.0
雇主,v,开始,v,7.828090287928824,2.0
以,p,总,n,7.375524420524514,2.0
　,x,腾讯,nz,3.0340160669155276,2.0
0.16,m,元,m,7.454726928470114,2.0
为,p,85.4,m,4.087763582109309,2.0
企业,n,和,c,1.8887295304268987,2.0
去年同期,n,TAC,eng,4.972834454435018,2.0
的,uj,代理,n,2.0276316998424604,2.0
为,p,44.6,m,3.950260058359374,2.0
为,p,1.48,m,4.409691676996672,2.0
提高,v,我们,r,3.2781644751056573,2.0
转换,v,为,p,3.4836922584404486,2.0
游戏,n,海外,s,3.1712918181183594,2.0
费用,n,150,m,3.5753242175488578,2.0
网络,n,营收,n,1.1278936552818437,2.0
影响,vn,的,uj,-1.5278215587159736,2.0
1.41,m,元,m,8.177192952941205,2.0
执行官,n,丁磊,nr,7.776655023357476,2.0
由于,c,该,r,2.1888441603272897,2.0
万美元,m,空中网,n,-1.0956551982240315,2.0
按照,p,美元,q,2.1811481393249474,2.0
e,eng,龙,n,10.539404643293915,2.0
从,p,长远,d,9.457898385102053,2.0
为,p,3.29,m,4.731619771884034,2.0
%,x,收入,v,-4.437961664245307,2.0
利润,n,减少,v,0.5874359782083988,2.0
所得税,n,为,p,-0.21089473345520665,2.0
为,p,8.34,m,5.409691676996671,2.0
授权,v,游戏,n,3.274385311082463,2.0
福利,ns,费用,n,6.164038853131121,2.0
公司,n,相信,v,4.005206440865118,2.0
受,v,财报,n,3.756060415124589,2.0
为,p,收入,v,-4.135272755792567,2.0
第一季度,l,IT,eng,4.673070032061058,2.0
毛利,nr,低于,v,4.684652359042216,2.0
由于,c,第四季度,l,0.10592854930081642,2.0
美分,m,之间,f,5.248719635452022,2.0
协议,n,有关,vn,9.020109060221754,2.0
研发,j,实力,n,9.159460353546196,2.0
第四季度,l,则,d,2.9911081472989585,2.0
反映,v,优酷,a,7.551414239711998,2.0
0.6,m,%,x,5.10700276854393,2.0
的,uj,41,m,1.2849877934337386,2.0
是,v,市政府,n,7.557116599076181,2.0
发生,v,了,ul,4.6114545095186035,2.0
比,p,2008,m,1.8661403340619358,2.0
显著,a,贡献,n,8.250093499988653,2.0
上个季度,l,大幅,d,4.231777956332625,2.0
的,uj,940,m,1.759526304461244,2.0
的,uj,28,m,-0.2779484009574189,2.0
以及,c,来自,v,1.6904039747966084,2.0
为,p,58.4,m,4.239766675554359,2.0
为,p,1760,m,3.950260058359374,2.0
季度,n,净营,n,0.7785347565756986,2.0
为,p,51.7,m,4.272188153246737,2.0
约合,vn,370,m,4.8613621339297275,2.0
人民币,n,340,m,2.9507514395088412,2.0
年,m,06,m,0.6130158428449897,2.0
贷款,n,2,x,9.386783537939198,2.0
净收入,n,人民币,n,1.0614549039150607,2.0
为,p,海外,s,0.22978258698173631,2.0
安全,an,浏览器,n,12.808558198532733,2.0
收为,v,1480,m,7.093523244436029,2.0
给予,v,消费者,n,13.344611098772944,2.0
发展,vn,我们,r,3.1865339996400883,2.0
-,x,0207,m,7.2157575192596,2.0
历年,n,最高,a,11.144938753936579,2.0
控制,v,和,c,2.721687037517708,2.0
通过,p,公开市场,n,8.569275172876054,2.0
开始,v,执行,v,7.956414384904365,2.0
年度,n,下滑,v,4.391505948181602,2.0
GAAP,eng,每,r,5.793263315655164,2.0
为,p,223,m,5.087763582109309,2.0
3.78,m,亿元,m,6.879044693963544,2.0
和,c,合作伙伴,n,3.780580726571276,2.0
阿里巴巴,nrt,第四季度,l,2.6488269904554285,2.0
是,v,研发,j,1.709835492605818,2.0
;,x,通信,j,5.607293327126436,2.0
MMORPGs,eng,的,uj,3.685525723017467,2.0
开支,v,所致,c,5.359302801517091,2.0
